Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
DELL,NOTEBOOK,15.6,1920x1080,2.5,4.0,256.0,AMD Radeon R5 M430,WINDOWS 10,2.3,34045.92
ASUS,NOTEBOOK,17.3,1366x768,1.1,4.0,1024.0,Nvidia GeForce 920MX,WINDOWS 10,2.8,24828.48
LENOVO,2 IN 1 CONVERTIBLE,10.1,1920x1200,1.44,4.0,64.0,Intel HD Graphics 400,ANDROID,0.69,16996.32
ACER,NOTEBOOK,15.6,1920x1080,1.8,8.0,256.0,Nvidia GeForce MX150,WINDOWS 10,2.2,44808.48
HP,NOTEBOOK,15.6,1920x1080,2.5,4.0,256.0,AMD Radeon R4 Graphics,WINDOWS 10,1.86,21231.55
HP,NOTEBOOK,13.3,1920x1080,1.8,8.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.49,58767.84
ACER,NOTEBOOK,15.6,1366x768,2.4,4.0,1024.0,Intel HD Graphics 620,WINDOWS 10,2.4,20459.52
DELL,NOTEBOOK,15.6,1920x1080,1.8,8.0,256.0,AMD Radeon 520,WINDOWS 10,2.13,40908.38
HP,NOTEBOOK,15.6,1920x1080,2.0,4.0,128.0,Intel HD Graphics 520,WINDOWS 10,1.91,23389.92
ASUS,NOTEBOOK,15.6,1366x768,2.5,4.0,256.0,Intel HD Graphics 620,WINDOWS 10,2.0,31232.2
MSI,GAMING,17.3,1920x1080,2.8,16.0,2304.0,Nvidia GeForce GTX 1070,WINDOWS 10,2.43,130482.72
ASUS,NOTEBOOK,15.6,1920x1080,2.0,4.0,256.0,Intel HD Graphics 520,LINUX,2.0,22111.2
DELL,NOTEBOOK,17.3,1920x1080,1.8,16.0,2304.0,AMD Radeon 530,WINDOWS 10,2.8,69210.72
DELL,ULTRABOOK,14.0,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.7,46833.12
LENOVO,NOTEBOOK,14.0,1920x1080,2.7,8.0,256.0,Intel HD Graphics 620,NO OS,1.7,31914.72
ASUS,NOTEBOOK,14.0,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.4,50136.48
HP,NOTEBOOK,15.6,1920x1080,2.5,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.86,36763.2
ASUS,ULTRABOOK,15.6,1920x1080,2.8,16.0,512.0,Nvidia GeForce GTX 1050 Ti,WINDOWS 10,1.8,105654.24
HP,NOTEBOOK,15.6,1366x768,2.0,4.0,500.0,AMD Radeon 520,WINDOWS 10,1.86,23373.4
HP,NOTEBOOK,14.0,1366x768,1.6,4.0,32.0,Intel HD Graphics 400,WINDOWS 10,1.44,12201.12
LENOVO,NOTEBOOK,15.6,1920x1080,2.5,4.0,1024.0,Intel HD Graphics 620,WINDOWS 10,1.9,29250.72
ASUS,GAMING,17.3,1920x1080,2.8,12.0,1024.0,Nvidia GeForce GTX 1050 Ti,LINUX,3.0,50562.72
MICROSOFT,ULTRABOOK,13.5,2256x1504,2.5,4.0,128.0,Intel HD Graphics 620,WINDOWS 10 S,1.252,58021.92
DELL,ULTRABOOK,13.3,1920x1080,1.8,8.0,256.0,AMD Radeon 530,WINDOWS 10,1.4,50882.4
DELL,NOTEBOOK,15.6,1920x1080,1.8,8.0,256.0,AMD Radeon 530,WINDOWS 10,2.2,46353.6
MSI,GAMING,17.3,1920x1080,2.5,8.0,1152.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.7,58341.6
ACER,NOTEBOOK,14.0,1366x768,2.0,8.0,1024.0,Intel HD Graphics 520,WINDOWS 10,2.1,20725.92
ASUS,GAMING,15.6,1920x1080,2.8,8.0,1024.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.2,50562.72
LENOVO,NOTEBOOK,15.6,1920x1080,2.5,8.0,2048.0,Intel HD Graphics 620,NO OS,2.2,27652.32
DELL,NOTEBOOK,15.6,1920x1080,1.8,8.0,1152.0,Intel UHD Graphics 620,WINDOWS 10,2.02,45554.4
ACER,NOTEBOOK,15.6,1920x1080,2.7,4.0,1024.0,Nvidia GeForce MX130,WINDOWS 10,2.2,28238.4
HP,NOTEBOOK,17.3,1920x1080,1.6,8.0,1152.0,Nvidia GeForce 930MX,WINDOWS 10,2.5,52054.56
DELL,ULTRABOOK,15.6,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.88,58403.4
APPLE,ULTRABOOK,12.0,2304x1440,1.3,8.0,512.0,Intel HD Graphics 615,MACOS,0.92,80452.8
HP,NOTEBOOK,14.0,1920x1080,1.6,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.63,45820.8
LENOVO,NOTEBOOK,15.6,1920x1080,2.5,4.0,128.0,AMD R4 Graphics,WINDOWS 10,2.2,21258.72
ACER,NOTEBOOK,15.6,1366x768,3.0,4.0,1024.0,AMD Radeon R5,WINDOWS 10,2.1,21045.6
DELL,GAMING,15.6,1920x1080,2.8,16.0,1152.0,Nvidia GeForce GTX 1050 Ti,WINDOWS 10,2.65,71874.72
HP,ULTRABOOK,15.6,1920x1080,1.8,8.0,256.0,Nvidia GeForce GTX 940MX,WINDOWS 10,1.83,37242.72
HP,NOTEBOOK,15.6,1920x1080,2.5,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.96,31914.19
ASUS,GAMING,15.6,1920x1080,2.8,16.0,1152.0,Nvidia GeForce GTX 1060,WINDOWS 10,2.2,77202.72
DELL,ULTRABOOK,13.3,1920x1080,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.21,87858.72
ASUS,GAMING,15.6,1920x1080,3.0,8.0,1024.0,AMD Radeon RX 560,WINDOWS 10,2.45,37242.72
ACER,NOTEBOOK,15.6,1920x1080,1.8,8.0,1024.0,Nvidia GeForce MX150,WINDOWS 10,2.2,36709.92
HP,NOTEBOOK,13.3,1920x1080,1.8,16.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.49,63776.16
DELL,GAMING,15.6,1920x1080,2.5,8.0,256.0,Nvidia GeForce GTX 1060,WINDOWS 10,2.65,63669.6
ASUS,ULTRABOOK,14.0,1920x1080,2.7,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.25,55890.72
ACER,2 IN 1 CONVERTIBLE,13.3,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.5,45128.16
DELL,NOTEBOOK,15.6,1920x1080,2.7,8.0,1024.0,AMD Radeon R5 M430,LINUX,2.2,31962.67
DELL,NOTEBOOK,15.6,1920x1080,2.0,4.0,256.0,AMD Radeon R5 M430,LINUX,2.2,25840.8
ASUS,NOTEBOOK,15.6,1920x1080,2.4,6.0,256.0,Nvidia GeForce 920M,WINDOWS 10,2.0,30742.56
HP,GAMING,15.6,1920x1080,2.8,12.0,1152.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.62,66546.72
HP,NOTEBOOK,15.6,1920x1080,2.7,8.0,256.0,AMD Radeon 530,WINDOWS 10,1.91,38308.32
HP,NOTEBOOK,15.6,1920x1080,1.5,4.0,500.0,AMD Radeon R2,WINDOWS 10,2.1,18594.72
DELL,NOTEBOOK,15.6,1920x1080,1.6,8.0,1024.0,AMD Radeon 520,LINUX,2.2,34472.16
HP,ULTRABOOK,13.3,1920x1080,2.7,8.0,256.0,Nvidia GeForce MX150,WINDOWS 10,1.38,59620.32
MICROSOFT,ULTRABOOK,13.5,2256x1504,2.5,8.0,256.0,Intel HD Graphics 620,WINDOWS 10 S,1.252,71395.2
HP,NOTEBOOK,14.0,1920x1080,2.5,6.0,256.0,Nvidia GeForce 940MX,WINDOWS 10,1.58,35111.52
LENOVO,NOTEBOOK,15.6,1920x1080,2.0,4.0,1024.0,Intel HD Graphics 520,WINDOWS 10,1.85,22105.87
ASUS,ULTRABOOK,14.0,1920x1080,2.7,8.0,256.0,Nvidia GeForce 940MX,WINDOWS 10,1.3,63563.04
MSI,GAMING,15.6,1920x1080,2.8,16.0,1280.0,Nvidia GeForce GTX 1050 Ti,WINDOWS 10,2.2,69210.72
LENOVO,NOTEBOOK,14.0,1920x1080,2.7,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.58,78854.4
ASUS,ULTRABOOK,15.6,1920x1080,1.8,16.0,1280.0,Nvidia GeForce MX150,WINDOWS 10,1.5,67239.36
DELL,ULTRABOOK,13.3,3200x1800,2.4,8.0,256.0,Intel Iris Plus Graphics 640,WINDOWS 10,1.23,73473.12
LENOVO,2 IN 1 CONVERTIBLE,13.3,1920x1080,2.5,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.37,74538.72
HP,NOTEBOOK,14.0,1366x768,1.6,4.0,500.0,Intel UHD Graphics 620,WINDOWS 10,1.63,38468.16
DELL,ULTRABOOK,13.3,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.21,86793.12
HP,2 IN 1 CONVERTIBLE,13.3,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.26,74538.19
HP,NOTEBOOK,14.0,1920x1080,1.8,8.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.63,57755.52
DELL,NOTEBOOK,15.6,1920x1080,1.8,8.0,1280.0,Nvidia GeForce 940MX,WINDOWS 10,2.16,60223.98
ASUS,NOTEBOOK,17.3,1920x1080,2.0,4.0,1024.0,Nvidia GeForce 920MX,WINDOWS 10,2.0,30049.92
ASUS,NOTEBOOK,15.6,1920x1080,1.8,8.0,256.0,Nvidia GeForce 940MX,WINDOWS 10,1.7,59567.04
ACER,NOTEBOOK,15.6,1920x1080,2.4,6.0,1024.0,Intel HD Graphics 620,WINDOWS 10,2.1,25521.12
MSI,GAMING,15.6,1920x1080,2.8,16.0,2304.0,Nvidia GeForce GTX 1070,WINDOWS 10,1.8,119427.12
LENOVO,NOTEBOOK,15.6,1920x1080,2.5,8.0,256.0,Nvidia GeForce 940MX,NO OS,2.2,33513.12
HP,NOTEBOOK,17.3,1920x1080,1.8,16.0,512.0,Nvidia GeForce 930MX ,WINDOWS 10,2.5,67718.88
ACER,NOTEBOOK,15.6,1366x768,3.0,4.0,256.0,AMD Radeon R5,WINDOWS 10,2.1,24029.28
HP,NOTEBOOK,15.6,1366x768,1.6,4.0,500.0,Intel HD Graphics 400,NO OS,1.86,13799.52
HP,NOTEBOOK,14.0,1920x1080,1.6,8.0,1024.0,Intel UHD Graphics 620,WINDOWS 10,1.63,43263.36
ASUS,NOTEBOOK,14.0,1366x768,1.5,4.0,64.0,AMD Radeon R2,WINDOWS 10 S,1.65,14811.31
DELL,NOTEBOOK,17.3,1920x1080,1.8,16.0,2304.0,AMD Radeon 530,WINDOWS 10,2.8,74378.88
HP,NOTEBOOK,17.3,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,2.5,49443.84
DELL,NOTEBOOK,15.6,1366x768,2.5,8.0,1024.0,AMD Radeon R7 M445,WINDOWS 10,2.36,34045.39
DELL,NOTEBOOK,15.6,1920x1080,2.0,4.0,1024.0,AMD Radeon R5 M430,WINDOWS 10,2.2,23922.72
ACER,ULTRABOOK,14.0,1920x1080,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.6,47099.52
ACER,NOTEBOOK,15.6,1920x1080,2.7,4.0,256.0,Nvidia GeForce MX130,WINDOWS 10,2.2,30476.16
