Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
LENOVO,GAMING,0.4087716575222072,1920x1080,0.3975688470899499,-0.07519506268436271,1.1091765006462218,Nvidia GeForce GTX 1050,WINDOWS 10,0.6934049959597477,-0.17844528132164308
HP,NOTEBOOK,0.4087716575222072,1366x768,-1.5781451413090015,-0.8621763211399812,-0.2504333972907915,AMD Radeon R2,NO OS,-0.2686839084722321,-1.2389244194014684
DELL,2 IN 1 CONVERTIBLE,-1.2044068787278503,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,-0.6294672476342246,-0.4360515496811148
HP,ULTRABOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 620,WINDOWS 10,-0.19352071281348393,-0.6650348993339786
DELL,NOTEBOOK,0.4087716575222072,1366x768,-0.5902881471095258,-0.8621763211399812,0.8422592200696303,Intel HD Graphics 520,WINDOWS 10,0.39275221332475374,-1.0090251148613154
APPLE,ULTRABOOK,-1.2044068787278503,1440x900,-1.380573742469106,-0.07519506268436271,-1.0261617439665107,Intel HD Graphics 6000,MAC OS X,-1.0353485041914663,-0.03533068778860326
DELL,NOTEBOOK,0.4087716575222072,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,AMD Radeon 530,WINDOWS 10,0.24242582200725737,-0.46324332245239236
DELL,ULTRABOOK,0.4087716575222072,1920x1080,-0.7878595459494211,-0.07519506268436271,-0.22540990223673604,Intel UHD Graphics 620,WINDOWS 10,-0.23861863020873306,0.249467353342146
HP,NOTEBOOK,1.6011210104026858,1920x1080,-1.380573742469106,-0.07519506268436271,0.8422592200696303,Nvidia GeForce 930MX,WINDOWS 10,0.6934049959597477,-0.3258533126606742
CHUWI,NOTEBOOK,0.4087716575222072,1920x1080,-1.6966879806129387,-0.8621763211399812,-1.1596203842548065,Intel HD Graphics,WINDOWS 10,-0.22358599107698335,-1.2575435528097447
ASUS,NOTEBOOK,-0.713439498130007,1366x768,-1.5781451413090015,-1.2556669503677904,-1.2263497043989544,AMD Radeon R2,WINDOWS 10,-0.5843693302389759,-1.3233620295859616
HP,NOTEBOOK,1.6011210104026858,1920x1080,0.3975688470899499,-0.8621763211399812,-0.2504333972907915,AMD Radeon 530,WINDOWS 10,1.0090904177264912,-0.9798870051066662
DELL,ULTRABOOK,-1.2044068787278503,3200x1800,-0.9854309447893159,1.4987674542268743,-0.22540990223673604,Intel UHD Graphics 620,WINDOWS 10,-1.2608380911677117,1.0666516824158034
APPLE,ULTRABOOK,-1.2044068787278503,1440x900,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 6000,MAC OS X,-1.0353485041914663,-0.17987642725697345
LENOVO,NOTEBOOK,-0.713439498130007,1366x768,-2.3684307366685817,-0.8621763211399812,-1.1596203842548065,Intel HD Graphics 500,WINDOWS 10,-0.9000547520057193,-1.2518047328194417
ACER,NOTEBOOK,0.4087716575222072,1366x768,0.7927116447697404,-0.8621763211399812,0.8422592200696303,Intel HD Graphics 620,LINUX,0.09209943068976037,-1.082929512450455
DELL,NOTEBOOK,1.6011210104026858,1920x1080,-1.380573742469106,-0.07519506268436271,1.1091765006462218,AMD Radeon 530,WINDOWS 10,1.1443841699122381,-0.207068200028251
HP,NOTEBOOK,0.4087716575222072,1366x768,0.3975688470899499,-0.8621763211399812,0.8422592200696303,Intel HD Graphics 620,WINDOWS 10,-0.2686839084722321,-0.9087734495348094
HP,NOTEBOOK,0.4087716575222072,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Nvidia GeForce 930MX ,WINDOWS 10,0.09209943068976037,-0.35018279356129084
ASUS,NOTEBOOK,0.4087716575222072,1920x1080,-0.5902881471095258,-0.8621763211399812,0.8422592200696303,Intel HD Graphics 620,LINUX,-0.058226960627736635,-1.051444301873186
DELL,GAMING,0.4087716575222072,1920x1080,0.9902830436096349,1.4987674542268743,1.3760937812228133,Nvidia GeForce GTX 1060,WINDOWS 10,0.9188945829359929,0.537127686343556
ASUS,NOTEBOOK,0.4087716575222072,1366x768,0.3975688470899499,-0.07519506268436271,0.8422592200696303,Nvidia GeForce 940MX,LINUX,0.39275221332475374,-0.859684982787894
ACER,NOTEBOOK,0.4087716575222072,1920x1080,-1.380573742469106,-0.8621763211399812,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,0.24242582200725737,-0.6321185428213794
DELL,2 IN 1 CONVERTIBLE,1.6011210104026858,1920x1080,-1.380573742469106,0.7117861957712558,0.8422592200696303,Nvidia GeForce 150MX,WINDOWS 10,1.0992862525169893,-0.17844528132164308
APPLE,ULTRABOOK,-1.2044068787278503,2560x1600,-0.5902881471095258,-0.07519506268436271,-0.7592444633899191,Intel Iris Graphics 540,MACOS,-1.0052832259279667,0.4226360115171243
LENOVO,NOTEBOOK,0.4087716575222072,1366x768,-0.5902881471095258,-0.8621763211399812,-1.0261617439665107,Intel HD Graphics 520,NO OS,0.24242582200725737,-1.080067220579794
ASUS,GAMING,1.6011210104026858,1920x1080,1.3854258412894256,-0.07519506268436271,1.3760937812228133,AMD Radeon RX 580,WINDOWS 10,1.7456897351822263,0.2508984992774764
DELL,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.8621763211399812,-0.7592444633899191,AMD Radeon R5 M430,WINDOWS 10,0.39275221332475374,-0.6936578180405866
ASUS,NOTEBOOK,1.6011210104026858,1366x768,-2.3684307366685817,-0.8621763211399812,0.8422592200696303,Nvidia GeForce 920MX,WINDOWS 10,1.1443841699122381,-0.9412460648527454
LENOVO,2 IN 1 CONVERTIBLE,-3.44882919003228,1920x1200,-1.6966879806129387,-0.8621763211399812,-1.1596203842548065,Intel HD Graphics 400,ANDROID,-2.0275026868869457,-1.151624517346314
ACER,NOTEBOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,Nvidia GeForce MX150,WINDOWS 10,0.24242582200725737,-0.40456633910384593
HP,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.8621763211399812,-0.7592444633899191,AMD Radeon R4 Graphics,WINDOWS 10,-0.2686839084722321,-1.0378626517365286
HP,NOTEBOOK,-1.2044068787278503,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.22540990223673604,Intel UHD Graphics 620,WINDOWS 10,-0.8248915563469708,-0.02960610404728179
ACER,NOTEBOOK,0.4087716575222072,1366x768,0.19999744825005455,-0.8621763211399812,0.8422592200696303,Intel HD Graphics 620,WINDOWS 10,0.5430786046422508,-1.0586000315498378
DELL,NOTEBOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,AMD Radeon 520,WINDOWS 10,0.13719734808500914,-0.5093263290134198
HP,NOTEBOOK,0.4087716575222072,1920x1080,-0.5902881471095258,-0.8621763211399812,-1.0261617439665107,Intel HD Graphics 520,WINDOWS 10,-0.19352071281348393,-0.9798870051066662
ASUS,NOTEBOOK,0.4087716575222072,1366x768,0.3975688470899499,-0.8621763211399812,-0.7592444633899191,Intel HD Graphics 620,WINDOWS 10,-0.058226960627736635,-0.7692367208400956
MSI,GAMING,1.6011210104026858,1920x1080,0.9902830436096349,1.4987674542268743,3.511432025835546,Nvidia GeForce GTX 1070,WINDOWS 10,0.5881765220375001,1.8967163249074344
ASUS,NOTEBOOK,0.4087716575222072,1920x1080,-0.5902881471095258,-0.8621763211399812,-0.7592444633899191,Intel HD Graphics 520,LINUX,-0.058226960627736635,-1.0142345075545958
DELL,NOTEBOOK,1.6011210104026858,1920x1080,-0.9854309447893159,1.4987674542268743,3.511432025835546,AMD Radeon 530,WINDOWS 10,1.1443841699122381,0.2508984992774764
DELL,ULTRABOOK,-0.713439498130007,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,-0.5092061345802273,-0.35018279356129084
LENOVO,NOTEBOOK,-0.713439498130007,1920x1080,0.7927116447697404,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 620,NO OS,-0.5092061345802273,-0.7509036554538023
ASUS,NOTEBOOK,-0.713439498130007,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,-0.960185308532718,-0.26145174557080614
HP,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 620,WINDOWS 10,-0.2686839084722321,-0.6206693753387362
ASUS,ULTRABOOK,0.4087716575222072,1920x1080,0.9902830436096349,1.4987674542268743,-0.22540990223673604,Nvidia GeForce GTX 1050 Ti,WINDOWS 10,-0.3588797432627303,1.2298023190434688
HP,NOTEBOOK,0.4087716575222072,1366x768,-0.5902881471095258,-0.8621763211399812,-0.2504333972907915,AMD Radeon 520,WINDOWS 10,-0.2686839084722321,-0.9803307463013293
HP,NOTEBOOK,-0.713439498130007,1366x768,-1.380573742469106,-0.8621763211399812,-1.2263497043989544,Intel HD Graphics 400,WINDOWS 10,-0.9000547520057193,-1.2804276515260498
LENOVO,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.8621763211399812,0.8422592200696303,Intel HD Graphics 620,WINDOWS 10,-0.20855335194523364,-0.8224609522203222
ASUS,GAMING,1.6011210104026858,1920x1080,0.9902830436096349,0.7117861957712558,0.8422592200696303,Nvidia GeForce GTX 1050 Ti,LINUX,1.4450369525472322,-0.250002578088163
MICROSOFT,ULTRABOOK,-1.064130484271324,2256x1504,0.3975688470899499,-0.8621763211399812,-1.0261617439665107,Intel HD Graphics 620,WINDOWS 10 S,-1.1826683676826133,-0.04964214714190732
DELL,ULTRABOOK,-1.2044068787278503,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,AMD Radeon 530,WINDOWS 10,-0.960185308532718,-0.2414157024761806
DELL,NOTEBOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,AMD Radeon 530,WINDOWS 10,0.24242582200725737,-0.3630631069792645
MSI,GAMING,1.6011210104026858,1920x1080,0.3975688470899499,-0.07519506268436271,1.1091765006462218,Nvidia GeForce GTX 1050,WINDOWS 10,0.9940577785947418,-0.04105527152992492
